Flight ID,Destination,Status
230,Los Angeles,inActive
231,Dubai,inActive
232,Tokyo,Active
233,Paris,Active
234,New York,Active
235,New York,inActive
236,New York,inActive
237,Los Angeles,inActive
238,New York,inActive
239,Dubai,inActive
240,Dubai,inActive
241,Paris,inActive
242,London,Active
243,Dubai,Active
244,Dubai,Active
245,London,Active
246,Paris,inActive
247,Los Angeles,inActive
248,Paris,inActive
249,Dubai,inActive
250,London,Active
251,New York,Active
252,Paris,inActive
253,Tokyo,Active
254,Paris,Active
255,Dubai,inActive
256,Los Angeles,Active
257,New York,Active
258,Paris,inActive
259,Los Angeles,Active
260,Los Angeles,Active
261,Los Angeles,inActive
262,Tokyo,inActive
263,Paris,inActive
264,London,Active
265,New York,inActive
266,Tokyo,Active
267,London,inActive
268,Tokyo,Active
269,Tokyo,Active
270,Los Angeles,inActive
271,Los Angeles,Active
272,Paris,inActive
273,New York,Active
274,Paris,inActive
275,Paris,Active
276,Paris,Active
277,Paris,Active
278,London,inActive
279,New York,Active
280,London,inActive
281,Tokyo,Active
282,New York,inActive
283,Paris,inActive
284,Los Angeles,Active
285,Tokyo,inActive
286,Los Angeles,inActive
287,Paris,inActive
288,London,inActive
289,Dubai,inActive
290,Paris,inActive
291,New York,Active
292,Tokyo,Active
293,New York,inActive
294,London,inActive
295,New York,inActive
296,Tokyo,Active
297,Paris,Active
298,Tokyo,Active
299,Los Angeles,Active
300,Dubai,Active
301,Los Angeles,Active
302,Tokyo,Active
303,London,inActive
304,New York,Active
305,Paris,inActive
306,Dubai,inActive
307,Paris,inActive
308,Tokyo,inActive
309,New York,inActive
310,New York,Active
311,Los Angeles,Active
312,New York,inActive
313,Dubai,Active
314,Dubai,Active
315,New York,inActive
316,London,inActive
317,New York,Active
318,Dubai,Active
319,London,inActive
320,New York,inActive
321,Dubai,inActive
322,Los Angeles,Active
323,Dubai,Active
324,Dubai,Active
325,Paris,Active
326,New York,inActive
327,New York,inActive
328,London,Active
329,Los Angeles,inActive
330,Paris,inActive
331,Dubai,Active
332,New York,inActive
333,Paris,inActive
334,New York,inActive
335,Dubai,Active
336,Paris,Active
337,New York,Active
338,Dubai,inActive
339,Los Angeles,Active
340,Tokyo,Active
341,Los Angeles,inActive
342,Dubai,Active
343,Paris,Active
344,London,Active
345,London,Active
346,Tokyo,Active
347,Paris,inActive
348,Tokyo,inActive
349,London,Active
350,Paris,inActive
351,Los Angeles,Active
352,Paris,inActive
353,New York,Active
354,Tokyo,inActive
355,New York,Active
356,Tokyo,Active
357,Dubai,inActive
358,Los Angeles,Active
359,New York,Active
360,Dubai,inActive
361,Los Angeles,inActive
362,Paris,Active
363,New York,Active
364,Tokyo,Active
365,Los Angeles,inActive
366,Los Angeles,Active
367,London,Active
368,Tokyo,Active
369,Tokyo,inActive
370,New York,inActive
371,Tokyo,Active
372,New York,inActive
373,London,Active
374,Tokyo,Active
375,Los Angeles,Active
376,Los Angeles,inActive
377,Paris,Active
378,Paris,inActive
379,Tokyo,Active
380,New York,inActive
381,Los Angeles,inActive
382,Los Angeles,Active
383,Los Angeles,inActive
384,London,Active
385,London,inActive
386,London,Active
387,London,Active
388,Los Angeles,Active
389,New York,Active
390,Dubai,inActive
391,Tokyo,inActive
392,Tokyo,inActive
393,Paris,Active
394,Paris,inActive
395,London,Active
396,New York,inActive
397,New York,Active
398,Tokyo,inActive
399,Los Angeles,Active
400,London,Active
401,New York,inActive
402,London,inActive
403,Los Angeles,inActive
404,Paris,Active
405,Paris,Active
406,Paris,inActive
407,Tokyo,inActive
408,London,Active
409,Tokyo,inActive
410,London,inActive
411,Dubai,Active
412,Dubai,inActive
413,Dubai,Active
414,Dubai,Active
415,New York,inActive
416,New York,Active
417,New York,Active
418,New York,Active
419,Tokyo,inActive
420,Dubai,inActive
421,New York,inActive
422,London,inActive
423,Los Angeles,Active
424,Los Angeles,Active
425,Dubai,Active
426,New York,inActive
427,Paris,Active
428,New York,Active
429,New York,inActive
430,Dubai,inActive
431,Tokyo,Active
432,New York,inActive
433,New York,Active
434,New York,Active
435,Dubai,Active
436,Paris,inActive
437,Tokyo,inActive
438,London,Active
439,London,inActive
440,Tokyo,Active
441,Dubai,inActive
442,Los Angeles,Active
443,Los Angeles,Active
444,Los Angeles,Active
445,Dubai,inActive
446,London,Active
447,Los Angeles,Active
448,Paris,Active
449,New York,inActive
450,New York,inActive
451,Tokyo,Active
452,New York,inActive
453,London,inActive
454,Dubai,Active
455,New York,inActive
456,Tokyo,Active
457,Paris,Active
458,Paris,inActive
459,Tokyo,inActive
460,Paris,Active
461,New York,inActive
462,Paris,Active
463,Paris,Active
464,Los Angeles,Active
465,Los Angeles,Active
466,Tokyo,Active
467,London,Active
468,Los Angeles,inActive
469,New York,inActive
470,London,Active
471,Tokyo,Active
472,Tokyo,Active
473,Los Angeles,Active
474,Tokyo,inActive
475,London,inActive
476,Tokyo,inActive
477,Los Angeles,inActive
478,London,inActive
479,Paris,inActive
480,Paris,Active
481,Dubai,inActive
482,New York,inActive
483,Paris,inActive
484,Los Angeles,inActive
485,New York,inActive
486,Paris,Active
487,New York,inActive
488,Tokyo,inActive
489,London,Active
490,Dubai,inActive
491,Paris,inActive
492,London,inActive
493,Los Angeles,inActive
494,New York,Active
495,London,inActive
496,Los Angeles,inActive
497,Dubai,Active
498,Paris,inActive
499,Paris,inActive
500,Dubai,Active
